session_duration_minutes,documents_viewed,documents_downloaded,documents_uploaded,verification_actions,failed_actions,rapid_actions,username,user_role,unusual_activity
6,3,0,1,1,0,False,student1@example.com,Student,False
10,5,1,0,0,0,False,student1@example.com,Student,False
6,5,0,3,1,1,False,student1@example.com,Student,False
5,2,2,3,2,1,False,student1@example.com,Student,False
26,1,0,3,0,1,False,student1@example.com,Student,False
7,4,2,0,3,0,False,student1@example.com,Student,False
44,3,2,1,0,0,False,student1@example.com,Student,False
10,2,0,3,2,1,False,student1@example.com,Student,False
28,3,0,2,0,0,False,student1@example.com,Student,False
34,4,1,1,2,0,False,student1@example.com,Student,False
25,15,1,0,11,1,True,student1@example.com,Student,True
168,2,2,2,3,1,False,student1@example.com,Student,True
12,2,2,1,3,0,False,student1@example.com,Student,False
34,5,1,0,0,1,False,student1@example.com,Student,False
23,4,0,3,0,1,False,student1@example.com,Student,False
37,1,2,2,1,0,False,student1@example.com,Student,False
38,1,2,2,3,5,True,student1@example.com,Student,True
41,1,0,3,0,0,False,student1@example.com,Student,False
40,2,1,3,1,0,False,student1@example.com,Student,False
28,4,2,3,0,0,False,student1@example.com,Student,False
42,5,0,1,0,0,False,student1@example.com,Student,False
168,1,1,0,1,1,True,student1@example.com,Student,True
41,5,1,1,3,1,False,student1@example.com,Student,False
32,19,12,3,22,0,True,student1@example.com,Student,True
20,2,0,3,1,1,False,student1@example.com,Student,False
9,4,2,0,0,0,False,student1@example.com,Student,False
20,2,1,3,3,0,False,student1@example.com,Student,False
15,4,0,3,2,1,False,student1@example.com,Student,False
40,4,0,1,2,0,False,student1@example.com,Student,False
39,1,2,2,0,0,False,student1@example.com,Student,False
38,2,0,0,1,0,False,student1@example.com,Student,False
20,4,0,1,0,0,False,student1@example.com,Student,False
38,3,1,1,2,0,False,student1@example.com,Student,False
75,11,1,0,0,3,True,student1@example.com,Student,True
117,15,0,2,2,1,True,student1@example.com,Student,True
11,2,1,0,0,0,False,student1@example.com,Student,False
26,2,2,2,3,1,False,student1@example.com,Student,False
10,4,1,0,0,1,False,student1@example.com,Student,False
21,2,2,3,3,0,False,student1@example.com,Student,False
14,5,0,2,1,1,False,student1@example.com,Student,False
7,3,0,1,0,1,False,student1@example.com,Student,False
31,5,2,1,1,0,False,student1@example.com,Student,False
31,1,0,2,3,0,False,student1@example.com,Student,False
11,4,0,3,1,0,False,student1@example.com,Student,False
24,2,0,0,1,1,False,student1@example.com,Student,False
22,3,2,3,2,0,False,student1@example.com,Student,False
16,5,1,0,0,1,False,student1@example.com,Student,False
32,5,2,0,3,0,False,student1@example.com,Student,False
5,5,2,1,2,1,True,student1@example.com,Student,False
26,5,1,0,2,1,False,student1@example.com,Student,False
23,5,0,1,3,1,False,student2@example.com,Student,False
44,5,1,3,0,1,False,student2@example.com,Student,False
42,5,2,2,3,1,False,student2@example.com,Student,False
35,2,2,0,2,1,True,student2@example.com,Student,False
20,3,0,1,1,0,True,student2@example.com,Student,False
44,1,1,3,1,1,False,student2@example.com,Student,False
5,1,1,1,1,1,True,student2@example.com,Student,False
12,4,0,3,2,1,False,student2@example.com,Student,False
37,4,2,3,1,1,False,student2@example.com,Student,False
45,3,2,3,1,1,False,student2@example.com,Student,False
20,3,1,2,0,0,False,student2@example.com,Student,False
14,2,0,3,3,1,False,student2@example.com,Student,False
18,4,1,0,3,1,True,student2@example.com,Student,False
29,4,2,1,3,0,False,student2@example.com,Student,False
29,3,2,3,1,1,False,student2@example.com,Student,False
39,1,1,0,0,1,False,student2@example.com,Student,False
8,3,1,2,1,1,False,student2@example.com,Student,False
29,3,1,2,0,1,True,student2@example.com,Student,False
27,2,2,0,0,0,False,student2@example.com,Student,False
64,24,0,1,1,4,False,student2@example.com,Student,True
131,18,0,2,0,4,False,student2@example.com,Student,True
42,17,0,2,8,0,True,student2@example.com,Student,True
26,8,1,3,9,1,True,student2@example.com,Student,True
100,18,2,3,3,3,False,student2@example.com,Student,True
33,2,1,3,2,4,False,student2@example.com,Student,True
21,3,1,2,0,0,True,student2@example.com,Student,False
36,5,0,3,3,1,False,student2@example.com,Student,False
86,22,2,1,2,4,True,student2@example.com,Student,True
